stem,group,view,width,height,mean_luma,std_luma,entropy,sharpness,dynamic_range,dark_fraction,white_fraction,mean_saturation,crack_bbox_fraction,objects_0,objects_1,objects_2,phash,dhash,cluster,quality,reject_reasons,selected
010MIO0_1_P_png.rf.30428467d38237df67596924506cc423,010MIO0,1,220,220,53.87937927246094,31.273849662073687,6.553006999900511,12.943546398542821,98.0,0.076446533203125,0.0,62.20574951171875,0.9909297520661158,2,1,1,9f78c380b983cf0d,8307327832717948,128,0.35003465836259146,,1
010MIO0_2_P_png.rf.fb3c049e557898e3e6da4dacc2676348,010MIO0,2,420,420,86.95712280273438,43.55571599035738,7.194726979168286,67.719254050171,148.0,0.0445404052734375,0.0,54.590972900390625,0.9952437641723356,0,2,1,d52a2ca5a5f4d2d2,074bc80c4400607a,100,0.6414279069049251,,0
010MIO0_3_P_png.rf.51c7d3b133c47347f0917ad0a4574f1c,010MIO0,3,372,372,112.09524536132812,48.38401209407083,7.383089860111772,71.61771684302948,161.0,0.0157470703125,0.0,44.82875061035156,0.9865880448606775,3,2,1,d429a333a59693d6,f72364000018888c,87,0.7157735659190296,,1
010MIO0_4_P_png.rf.953ff92f7da503c963a7eda0b2deb77a,010MIO0,4,352,352,91.67318725585938,44.612852577044734,7.295297632055931,50.76411318196915,162.0,0.0465087890625,0.0,52.33561706542969,0.9943262525826447,0,2,1,da259524b6b6d24b,4e83c90501413150,100,0.6536090196133785,,0
010MIO0_5_P_png.rf.b2b391dc1b07088f0504d9843e60c244,010MIO0,5,204,204,113.77626037597656,49.641068294365276,7.350149387999423,24.65075988485478,158.0,0.00872802734375,0.0,44.689788818359375,0.9755863129565553,3,2,1,d42aae23a5d496d6,7f2360008098eca8,87,0.6473115826238258,,0
044O9NG_1_P_png.rf.71de4082ca4e66b8b9ce7225bbd11c1c,044O9NG,1,132,132,29.291122436523438,15.481366518327903,5.8348477606525915,9.401058197021484,48.0,0.1338653564453125,0.0,112.35064697265625,0.9773875114784206,1,2,1,9e7f7dc007df8002,3b3f2975e5cc3c3c,57,0.1912465223038332,low_quality_score,0
044O9NG_2_P_png.rf.8c261e84c6dd9d256f1829dda7cc7102,044O9NG,2,392,392,66.95376586914062,25.851525288067567,6.517269828247601,43.671327664516866,101.0,0.0428466796875,0.0,91.41470336914062,0.9949044668887964,0,2,1,8bde9464ad09fe18,a6cc39c3472efdfb,187,0.432708322775649,,1
044O9NG_3_P_png.rf.93a2c8a4ed5556942b747ff71d28287f,044O9NG,3,284,284,65.04670715332031,36.04084114824838,6.84467167391608,26.477013002848253,107.0,0.0610198974609375,0.0,95.208740234375,0.9929701448125372,1,1,1,8a293d3785d497d2,ef93f1f1d9ddf938,17,0.4747537539449219,,1
044O9NG_4_P_png.rf.e1b29ef8568528cf4aba52c034a13fe3,044O9NG,4,236,236,67.45811462402344,31.83893367434871,6.83323650751816,19.11399122700095,107.0,0.056640625,0.0,97.52214050292969,0.9915433783395576,1,2,1,9a7dbdca85da810a,7f4d71796dcdb978,117,0.44046597930250453,,0
044O9NG_5_P_png.rf.99cbb7982c9a2bd691ec9e2984f3f1e6,044O9NG,5,324,324,61.054931640625,34.72585072168767,6.742644029582857,32.634662970667705,109.0,0.1305999755859375,0.0,92.7271728515625,0.9938366864807193,1,2,1,b878e3b6871e404f,1d99903c7e3a79fb,92,0.4704074672697874,,0
0C8397Z_1_P_png.rf.cf2dbddd13df67ef7bb165244ee0ab1c,0C8397Z,1,248,248,82.80915832519531,23.07910225032039,6.1782855372676195,41.254521913593635,78.0,0.030364990234375,0.0,95.04042053222656,0.9919517429760666,0,2,1,af8443e058ec57e9,cae564269149a719,19,0.38414901378000493,,1
0JOFH7K_1_P_png.rf.980825ba6991c08011bbf2b2cd080fab,0JOFH7K,1,217,217,28.045578002929688,18.95635424788308,5.3805683847753825,10.915901846252382,52.0,0.02984619140625,0.0,68.45896911621094,0.3999235490241883,2,0,1,c8cfd11517a2afc8,72a4579d301694aa,116,0.11553657417370021,low_quality_score,0
0JOFH7K_2_P_png.rf.7dcdf3a2359b0cae6274a863112e3b2f,0JOFH7K,2,203,203,104.5228271484375,38.663981567093074,6.958379645263356,53.498106493614614,109.0,0.0016021728515625,0.0,42.17250061035156,0.7195272877284089,1,3,1,bbb31173d4c0256d,da792e990f8b8120,46,0.5485902574575263,,0
0JOFH7K_3_P_png.rf.87dfdf3371e4e0321f3be4e5f73824b2,0JOFH7K,3,464,464,137.11001586914062,34.33815825475865,6.503827646156193,252.29285187623464,111.0,0.018890380859375,0.0,37.352996826171875,0.993543772294887,2,2,1,80ff5f12a48df143,145583a6ad9ae4af,63,0.6206592314313029,,1
0JOFH7K_4_P_png.rf.c1af6e018fa2950c5dcc88683fabf250,0JOFH7K,4,213,213,116.7706298828125,38.90546013497572,6.966946492975183,69.91759120090865,109.0,0.0024871826171875,0.0,37.79728698730469,0.6956071326235976,6,4,1,9c9dc362d3621277,717b7e753f950369,46,0.577824628039363,,0
0JOFH7K_5_P_png.rf.ac8ae7b167d776ecc02483be046546d8,0JOFH7K,5,324,324,123.20866394042969,33.703695793144114,6.831504715562707,118.25400018854998,109.0,0.0206756591796875,0.0,42.07783508300781,0.30153558908702943,2,4,1,807fad3f9612349c,66d389cceaced99a,171,0.5574657544789786,,0
0JTEK03_1_P_png.rf.29ab7cf1b57f29a2eb13b9ee7ff65c96,0JTEK03,1,200,200,91.4591064453125,52.55087262784181,6.531793461635923,21.31095927581191,141.0,0.016632080078125,0.0,32.876861572265625,0.990025,3,4,1,c69090e2d47b3d3e,a8a428c8460301a4,93,0.5297370318276033,,0
0JTEK03_2_P_png.rf.81faeed6850b2456c43fc7479c357857,0JTEK03,2,580,580,124.84736633300781,64.64384214755098,6.994460053195205,128.72900127992034,177.0,0.0185546875,0.0,27.365997314453125,0.9965546967895363,1,3,1,ecbd33b398898dc0,7f0762660687c1c9,90,0.8044222512258657,,1
0JTEK03_3_P_png.rf.bff5a977b4f03d75d2937ba03d00b4ce,0JTEK03,3,552,552,152.34678649902344,57.51276071453955,6.586525472897211,315.1307954972144,158.0,0.0078125,0.0,20.531753540039062,0.9927634688090737,7,4,1,dea7875aa13098dc,de40a61ea1b91850,90,0.754090010723221,,0
0JTEK03_4_P_png.rf.e63dcbb0d2b1cd5c421f0f6ba4a8a42d,0JTEK03,4,168,168,123.50575256347656,68.60624083569424,6.773238544789066,24.150054601719603,183.0,0.012481689453125,0.0,27.162384033203125,0.9881306689342404,0,3,1,eb961fc722e90643,7c3e1f0f03824311,93,0.6817649197190473,,1
0NE87IS_1_P_png.rf.50e5bd2b39160b77f7c6fc35cda13c1b,0NE87IS,1,120,120,50.542327880859375,35.41438060469467,6.044755878574219,16.871307373046875,94.0,0.14019775390625,0.0,113.3150634765625,0.966875,0,2,1,ae78c21435dbf027,200105134f7feeee,-1,nan,image_too_small,0
0NE87IS_2_P_png.rf.30a587215b17fd6c347ea9ceaabfada3,0NE87IS,2,532,532,136.1092071533203,45.394885941291435,6.688786672706315,185.30272268666886,153.0,0.0193939208984375,0.0,65.22012329101562,0.9906156368364522,4,3,1,f8d84ef11724a4e9,30b9270f1c1f1767,208,0.7150653318379653,,1
0NE87IS_4_P_png.rf.3d43ac949a130126890528af9cd082e0,0NE87IS,4,276,276,107.14585876464844,49.47343005095673,6.99318285504265,25.818425502395257,168.0,0.0473785400390625,0.0,75.99685668945312,0.9855466288594832,2,0,1,b94b5ed093b6a42c,1913270f9e963d7d,30,0.6352692554064459,,1
0NU8X54_1_P_png.rf.5253e469052e9e7be365062573a22121,0NU8X54,1,181,181,70.69573974609375,19.995468790039403,6.00923258335534,10.551935266470537,66.0,0.02960205078125,0.0,112.81597900390625,0.16299868746375262,2,0,1,d52a1f2e0fb9aa21,7700804cd6123666,107,0.19998858610796283,low_quality_score,0
0NU8X54_2_P_png.rf.c8fca5310ccafaf49db7085d0f3d5f7a,0NU8X54,2,260,260,86.11128234863281,23.254744972246726,6.06013066893365,27.804462186060846,78.0,0.0335845947265625,0.0,106.98799133300781,0.14826923076923076,2,0,1,d56e1e3f0e3b0a28,4d04c80ad61a2266,50,0.28615742729795113,low_quality_score,0
0NU8X54_3_P_png.rf.cedebd7ddd1a4780b20174c306c4b261,0NU8X54,3,144,144,75.60954284667969,25.590357320989348,6.2088652422646415,21.021534747444093,89.0,0.0385284423828125,0.0,101.34814453125,0.9792631172839507,2,0,1,8f707e6440c0cfde,033e78d0d1746d61,92,0.3588091353120776,,1
0QHYGJ9_4_P_png.rf.3950eba8a0c0854c53c4ef2a3f60f961,0QHYGJ9,4,276,276,140.52957153320312,42.893502772730834,6.926815337625544,85.66555517539382,130.0,0.023223876953125,0.0,18.323898315429688,0.9927667506826297,0,2,1,d07f70a141f73526,81a16140c0908891,63,0.6265623768840365,,1
0QHYGJ9_5_P_png.rf.c8e28908f820230eda1aa02db472437e,0QHYGJ9,5,228,228,141.1549072265625,42.600032957151306,6.931100599501927,64.50183507427573,128.0,0.0171051025390625,0.0,18.372940063476562,0.9912473068636504,0,2,1,d25f70a041f735a6,a1a16141c0988598,63,0.6045499140066773,,0
0QI98Q2_1_P_png.rf.18e7484983531451b4ec319713b0019e,0QI98Q2,1,176,176,85.33436584472656,38.59405365068356,7.222484132449948,99.48189261183143,137.0,0.0341796875,0.0,80.0960693359375,0.9773695764462809,1,0,1,dff4f0fcd0900c46,304a639a765568d5,26,0.6486022917167326,,0
0QI98Q2_2_P_png.rf.ef42b50b9858bf4679aeff86876cf5c2,0QI98Q2,2,262,262,106.2366943359375,42.0986336887238,7.255633369435655,180.3931978584733,125.0,0.028228759765625,0.0003204345703125,50.253814697265625,0.7870607773439777,1,2,1,8139af6deb12a44d,cbdb9289c294b4ab,69,0.6931327441287383,,1
0QI98Q2_3_P_png.rf.96a9c325995e265a49d2a1140e1f301c,0QI98Q2,3,160,160,152.64344787597656,47.942579804922985,7.435679696700454,116.35556827485561,143.0,0.0097503662109375,0.0001678466796875,45.120880126953125,0.0666015625,3,2,1,88f34bce8bf08875,91d1bdfafab1aae9,227,0.6291271419864383,,0
0QI98Q2_4_P_png.rf.49de2bd82f6542f7d8ed09f62fe66143,0QI98Q2,4,281,281,149.27716064453125,49.24892608773802,7.464961892647595,184.98290692269802,150.0,0.0161590576171875,0.0001373291015625,46.95161437988281,0.07340332569243044,3,2,1,80f34ace8bf29a74,91dabddafaa0acf9,227,0.6761604456250461,,0
0QI98Q2_5_P_png.rf.358319080f3c7237b843adf7f18812d7,0QI98Q2,5,303,303,159.25970458984375,49.67299221730996,7.45326020151717,216.9243493245449,147.0,0.017242431640625,4.57763671875e-05,45.31488037109375,0.07188837695650753,1,3,1,8055a5a46b9fc753,ee9cecf899a7a1db,227,0.6736688681308619,,0
0QIMW1O_1_P_png.rf.40602d7480c61950bc757159b29a4965,0QIMW1O,1,184,184,35.541168212890625,13.902274563522889,5.665038189705188,8.906857665628195,43.0,0.0401611328125,0.0,122.51878356933594,0.9783494801512288,5,0,1,d2cc09dac17fd017,88e54025e58878d8,109,0.18431982001624359,low_quality_score,0
0QIMW1O_2_P_png.rf.990a0da885293791a69c4ba551159381,0QIMW1O,2,240,240,82.68205261230469,33.92000052629385,6.870084843307757,48.16872279252857,100.0,0.0302581787109375,0.0,90.21217346191406,0.9916840277777778,2,0,1,e39cc0d6c187175d,a0854142414c4bc1,19,0.5174322417173267,,1
0QIMW1O_3_P_png.rf.b53d7da9be1cbee10774b08e25a87b81,0QIMW1O,3,104,104,110.66842651367188,29.05375816424656,6.346041785995313,65.77359008789062,102.0,0.0243072509765625,0.0,91.098876953125,0.9618158284023669,2,0,1,dad214f59461c575,2c19c18961699e26,-1,nan,image_too_small,0
0QIMW1O_4_P_png.rf.0a8a623c0c117ac61fea805959fa9817,0QIMW1O,4,211,211,110.99031066894531,29.69774207764655,6.535502790975535,41.39500733255409,96.0,0.0220947265625,0.0,89.50083923339844,0.3971159677455582,2,0,1,d54ad2d6b4a685a5,84b0420436768494,108,0.4533008431761775,,0
0S8CPUD_1_P_png.rf.6c9523cd0fd5925b4b7b15329cf346fc,0S8CPUD,1,104,104,26.905731201171875,12.30974574068076,5.472511664148775,6.442138671875,45.0,0.0870819091796875,0.0,102.53756713867188,0.9808616863905326,1,0,1,c3873a874378837b,c9e8d9c0c0413389,-1,nan,image_too_small,0
0S8CPUD_2_P_png.rf.4b157d9cc5e3c31d3da6dff5fb505a5d,0S8CPUD,2,104,104,107.68519592285156,37.01319861757091,6.916159546277376,58.849517822265625,137.0,0.035491943359375,0.0,65.9398193359375,0.9808616863905326,1,0,1,c3833a87c378876b,c9d0c9e0c0c433e1,-1,nan,image_too_small,0
0S8CPUD_3_P_png.rf.d2dbd3272beb4843424571356bdd9c8e,0S8CPUD,3,249,249,167.85446166992188,44.67038329302369,6.506911550836368,98.40277573373169,121.0,0.002349853515625,0.0,38.48394775390625,0.36105869260173223,8,0,2,f55d532a1b2ad22a,20b6062a37878654,98,0.5372574082932582,,0
0S8CPUD_4_P_png.rf.9347e130b5158123e30796c849367aa9,0S8CPUD,4,351,351,166.9156036376953,45.55419079253652,6.553092581646425,178.3069559817668,122.0,0.0044403076171875,0.0,39.04267883300781,0.36155550685465215,8,0,2,f55d532a1b2aca2a,2066866a350786d4,98,0.586273912943321,,1
0S8CPUD_5_P_png.rf.7a945e0a2d8b62aa8756799a61ebc6ff,0S8CPUD,5,100,100,152.6916046142578,67.4929625080367,6.524043573693033,80.76931762695312,198.0,0.0409088134765625,0.0,48.89830017089844,0.9702,4,0,1,d22a2d2d3f352517,32090949480000c0,-1,nan,image_too_small,0
0T12A54_1_P_png.rf.f6643c39b77cf85c207c1d59e14165f3,0T12A54,1,321,321,84.99624633789062,26.884265264652054,6.130631629520693,26.035570747219026,93.0,0.038421630859375,0.0,62.967315673828125,0.11801127706446948,7,0,1,c1005d7f3f09496f,5280e9ca0fb332f2,40,0.28663575429876514,low_quality_score,0
0T12A54_2_P_png.rf.f7a34b1c2f00beee2af9669babba9756,0T12A54,2,372,372,141.49179077148438,45.974939499722005,6.16797383204684,56.07865314534865,134.0,0.007354736328125,0.0,41.3292236328125,0.26541363163371484,3,0,1,c949496dedc9c989,43ddf74536e818a4,51,0.5064463944622463,,1
0T12A54_3_P_png.rf.3f66ed20bcdd978e4e622fb1d1194d14,0T12A54,3,352,352,137.3004913330078,38.74412904117194,6.547567117349126,63.1526065915823,121.0,0.002532958984375,0.0,42.861541748046875,0.16147178460743802,5,0,1,8605767d15953d95,7ee0e7ecff035c19,33,0.4940348589671217,,0
0T12A54_4_P_png.rf.e6f0404a34cf9c9cc02a1383ecd7db3f,0T12A54,4,356,356,142.767578125,42.22952871570481,6.328140772725301,51.03134013619274,128.0,0.0012664794921875,0.0,41.063140869140625,0.16806590077010475,4,0,1,bbb133b133b1d111,df6760a80b36af01,90,0.47551574262189805,,0
0T12A54_5_P_png.rf.f1bcac1ceee189a7b832ea360db24598,0T12A54,5,312,312,138.0697479248047,35.91281212606694,6.504165015750643,41.80064811464399,96.0,0.0092926025390625,0.0,42.47862243652344,0.07618343195266272,8,0,1,9e1e0c737362674a,31f479212938b2b4,33,0.4055204147531332,,0
0TT1T4U_1_P_png.rf.3bb718452fd5c287dce4361d2d985aab,0TT1T4U,1,258,258,71.55374145507812,38.02428798926261,5.174798806505979,26.648276910185814,87.0,0.0164947509765625,0.0,81.6563720703125,0.08461029986178716,3,0,1,f9953c2f6427b501,2610900d89591a81,1,0.26204295396649924,low_quality_score,0
0TT1T4U_2_P_png.rf.f51e9f9d5af822480756935ec9990662,0TT1T4U,2,317,317,161.08807373046875,47.223367867553975,6.398017907163531,132.98194974823855,124.0,0.0023345947265625,0.0,32.87934875488281,0.2767268059190558,6,2,1,8555fe292a3a2736,aeb4cedae2c3de7a,98,0.5548299951944051,,0
0TT1T4U_3_P_png.rf.0e54b7c50c251aadf6fce40d026c5899,0TT1T4U,3,408,408,134.3588104248047,49.92255898226613,6.710910062869265,201.06184899434447,131.0,0.0047607421875,0.0,45.01698303222656,0.23960736255286433,9,2,1,dc2aa1dacc21dbd8,28ef5fa521a992d2,188,0.6569718964698457,,1
0UD4O55_1_P_png.rf.b8c493c4fa2ccd6fbbd17d012c3a5d6e,0UD4O55,1,96,96,45.36390686035156,40.73586850739618,5.897015366632663,10.33892822265625,126.0,0.034027099609375,0.0,65.29571533203125,0.9792751736111112,2,0,1,9f608e31e78c718e,8e00008c0e1e7f78,-1,nan,image_too_small,0
0UD4O55_2_P_png.rf.fc7ebcfa90f08860817c856171c4b618,0UD4O55,2,128,128,93.17645263671875,58.07449969108075,6.507566604551704,29.48321533203125,165.0,0.0,0.0,47.680908203125,0.98443603515625,2,0,1,807f84b07fc0fc53,0c0c04005ffffcf0,88,0.6018813104255857,,1
0UD4O55_3_P_png.rf.6f32cc1854eee705b1fd9a9b5babd15e,0UD4O55,3,356,356,170.69781494140625,41.14665964821431,6.048299013992428,80.84405448194593,135.0,0.000701904296875,0.0,21.262924194335938,0.11764613053907337,7,0,1,eb33360d1c0d3b2d,aa490b4a02030205,98,0.429908987768159,,0
0UD4O55_4_P_png.rf.1c167954d1468af3129f5542cb364aa9,0UD4O55,4,364,364,140.4603271484375,41.43206610641206,6.956917543550814,58.065487802028656,138.0,0.0,0.0,32.24835205078125,0.18082055307330036,6,0,1,a9f256e03e21f721,9ee5fbbfb696b320,98,0.5482580547196563,,0
0UD4O55_5_P_png.rf.159104926fb353e68a0d892168c4c975,0UD4O55,5,328,328,174.27842712402344,39.95899817742487,5.8842952106102615,43.876443398883566,138.0,0.0003204345703125,0.0,21.560882568359375,0.1782328227245687,4,0,1,c1297f3672557254,0af38a82dea04000,137,0.3855744027945659,,1
0UK4XE4_1_P_png.rf.36dc42ee4237c660ef021dcf12f86f33,0UK4XE4,1,325,325,69.17501831054688,26.02299320277355,6.611976930667128,71.79055169015191,82.0,0.0253448486328125,0.0,76.14512634277344,0.9907881656804733,6,0,1,a64ad674c95fc095,adbdcd5b9f154cc6,187,0.45063302426896146,,1
0UK4XE4_2_P_png.rf.2024513d03f92d92bb752803e9856a92,0UK4XE4,2,352,352,134.86080932617188,37.85470154010852,6.996993700151241,171.435108628124,110.0,0.0195770263671875,0.0,53.581573486328125,0.9914934142561984,6,0,1,a65ad674c95fc015,ac7dcd4b96055cc6,217,0.6619898425355992,,0
0UK4XE4_3_P_png.rf.db7c15eeebb82e494e404a7ef8e3a5c5,0UK4XE4,3,252,252,125.55677795410156,49.10538915970066,7.055759698198923,80.71098081674427,135.0,0.0201263427734375,0.0,58.14527893066406,0.9881267321743513,4,0,1,9ccfcbe059765c10,6375571497b5bd72,217,0.6926909907174206,,1
0UK4XE4_4_P_png.rf.051c3fe3297a4384c77af85eba84189e,0UK4XE4,4,237,237,133.85133361816406,47.06818241799932,6.913880347448987,77.032278198516,129.0,0.0169219970703125,0.0,54.57914733886719,0.9831757731132832,3,0,1,8ee4e1fb4c394e18,87eeafa82e6b78e9,217,0.6575288990728259,,0
0UK4XE4_5_P_png.rf.b6fff7d7b0f60e63a9dc893b6f07e4a4,0UK4XE4,5,244,244,157.4744415283203,29.646374987332354,6.04006150447967,61.38178710429929,63.0,0.01556396484375,0.0,51.42411804199219,0.10161918839021769,3,0,1,ea62696670627b71,07c82bc53c89c632,192,0.3188337940898126,,0
0WGCKV1_1_P_png.rf.205209b7d277bd9012a73c64721d0d8e,0WGCKV1,1,312,312,68.08561706542969,36.78145630605828,6.520710455054365,20.535788919776678,102.0,0.0695343017578125,0.0,111.68196105957031,0.9936000164365549,3,2,1,fec017b4a519f303,3058c1a3c61c3973,19,0.4385373218946268,,0
0WGCKV1_2_P_png.rf.8eb9d092b0e39339572b6dfbacae1627,0WGCKV1,2,340,340,131.5223388671875,51.730127810488405,6.835360061420468,36.831778444116935,155.0,0.00018310546875,0.0,72.50663757324219,0.9882612456747405,1,2,1,ebc81af2865cd11e,6133c3278e8a3a65,130,0.6572621439572542,,1
0WGCKV1_3_P_png.rf.05cf2c6950a6ed258e630ae7dcda3141,0WGCKV1,3,232,232,133.0253448486328,46.202002930627735,6.924077886389757,24.517731169005856,144.0,0.0,0.0,71.29133605957031,0.9828143579072532,3,2,1,eec81b32663ce18e,847163c68c9d316b,130,0.604468463656777,,0
0WGCKV1_4_P_png.rf.d24216b42ab89ed5e1b084459bb80010,0WGCKV1,4,300,300,131.62271118164062,49.68310944460945,6.979704029137556,36.181492240866646,148.0,0.001434326171875,0.0,73.69879150390625,0.9900222222222222,2,2,1,fb421a33a6ecc8d2,4943878f8f1c3a78,130,0.6547654535418385,,0
0WGCKV1_5_P_png.rf.cee542e3ef88b125d29a1c96eee84446,0WGCKV1,5,148,148,129.01699829101562,55.76127025650195,6.867826022108597,25.478615943109617,158.0,0.0035400390625,0.0,75.3419189453125,0.9663988312636962,0,2,1,b8644c181373cfdd,b387860f1c3d3a78,130,0.6582644930044363,,1
101N1RC_4_P_png.rf.cd9ca444904b3f0cff499a0f0b89830e,101N1RC,4,280,280,111.33995056152344,41.127904213889295,7.204893036970671,47.0832664554473,144.0,0.0049896240234375,0.0,72.73681640625,0.9857525510204083,4,2,1,8e9fc723b12870f4,fc602422985be300,108,0.6401427124072019,,1
101N1RC_5_P_png.rf.f7c04fdcbee6049eb8b7d3dcee9e73e1,101N1RC,5,104,104,96.32991027832031,54.78174886488714,7.414525415384174,54.898101806640625,174.0,0.040771484375,0.0,70.80476379394531,0.9808616863905326,1,2,1,bb6c488bd3869965,29272e4f4e5bdfd9,-1,nan,image_too_small,0
10KU0W6_2_P_png.rf.0d8e13ae762378e188c9ca1596e0638b,10KU0W6,2,140,140,159.14796447753906,29.423962941127552,5.526068062961676,74.07861934392713,75.0,0.009521484375,0.0,40.31816101074219,0.9857653061224491,2,2,1,ca3412c995cbe5e6,912ca7ab8b2be948,245,0.38110508045877695,,0
10KU0W6_3_P_png.rf.b2ad76817074447d07348ac2772b69ef,10KU0W6,3,212,212,157.68646240234375,32.9544760063423,5.585744295540209,47.97098868875764,92.0,0.0179290771484375,0.0,42.550323486328125,0.9905882876468493,2,3,1,d02d161a97dac9cd,dab4b2dc8485b5c8,245,0.38599482081210923,,1
10KU0W6_4_P_png.rf.6c8202943d1221a4cad3d0463417d66f,10KU0W6,4,204,204,159.8128662109375,28.85422392422312,5.409745826577836,41.717383950715885,75.0,0.0078887939453125,0.0,44.591766357421875,0.9853421760861207,1,2,1,810094bed96f379e,99cdad92f9ee6296,245,0.3427567207587762,,0
10KU0W6_5_P_png.rf.3ec030e536e4560be352198833e7263b,10KU0W6,5,112,112,162.4941864013672,18.351629759639426,5.271111759424901,39.7830810546875,47.0,0.0,0.0,38.66279602050781,0.9468271683673469,2,2,1,d025529a95dae9cd,dad4b21c6c8d1588,-1,nan,image_too_small,0
11SQWLC_1_P_png.rf.7f4b64f2e8584989468cb257f8368df2,11SQWLC,1,344,344,96.06072998046875,54.95647168560943,7.206330343023296,63.67757442500442,161.0,0.07672119140625,0.0,26.299667358398438,0.9941944970254192,4,0,1,b1030eac4fadf1a3,67981992969e1f00,159,0.6919714698921393,,1
11SQWLC_2_P_png.rf.061b349459adb5b8ae51b254fecaf6b0,11SQWLC,2,148,148,127.14808654785156,60.88890964143296,7.224459207244406,52.08825072553009,181.0,0.0351104736328125,0.0,22.82574462890625,0.9798210372534696,3,2,1,a611c0e3595d4fe6,8e9cf6382d2a4e84,67,0.7549645788892088,,1
11SQWLC_3_P_png.rf.8935f79aeaa6580715b8c81943f18a5d,11SQWLC,3,200,200,125.68727111816406,59.479066852461884,7.239181669045491,32.12271390017122,179.0,0.029876708984375,0.0,21.177398681640625,0.990025,4,3,1,b61000e37b3d5da7,9c9cf62d484ace04,67,0.7155948845737289,,0
